currency,date,rate
ILS,8/6/2020,4.03225
ILS,8/7/2020,4.0204
ILS,8/8/2020,4.0201
ILS,8/9/2020,4.02085
ILS,8/10/2020,4.01275
PLN,8/1/2020,4.41555
PLN,8/2/2020,4.424015
PLN,8/3/2020,4.4127
PLN,8/4/2020,4.39693
PLN,8/5/2020,4.4012
PLN,8/6/2020,4.4181
PLN,8/7/2020,4.413205
PLN,8/8/2020,4.4136
PLN,8/9/2020,4.41427
PLN,8/10/2020,4.39996
THB,8/1/2020,36.821
THB,8/2/2020,36.821
THB,8/3/2020,36.705
THB,8/4/2020,36.621
THB,8/5/2020,36.844
THB,8/6/2020,36.906
THB,8/7/2020,36.808
THB,8/8/2020,36.819
THB,8/9/2020,36.819
THB,8/10/2020,36.518
MXN,8/1/2020,26.2394
MXN,8/2/2020,26.24475
MXN,8/3/2020,26.62595
MXN,8/4/2020,26.75145
MXN,8/5/2020,26.56295
MXN,8/6/2020,26.60505
MXN,8/7/2020,26.37485
MXN,8/8/2020,26.35785
MXN,8/9/2020,26.39255
MXN,8/10/2020,26.37722
JPY,8/1/2020,124.7561
JPY,8/2/2020,124.7335
JPY,8/3/2020,124.704
JPY,8/4/2020,124.7815
JPY,8/5/2020,125.34
JPY,8/6/2020,125.375
JPY,8/7/2020,124.865
JPY,8/8/2020,124.8734
JPY,8/9/2020,124.735
JPY,8/10/2020,124.41
NOK,8/1/2020,10.7139
NOK,8/2/2020,10.7253
NOK,8/3/2020,10.7396
NOK,8/4/2020,10.7367
NOK,8/5/2020,10.62282
NOK,8/6/2020,10.65759
NOK,8/7/2020,10.65007
NOK,8/8/2020,10.6454
NOK,8/9/2020,10.671
NOK,8/10/2020,10.6092
SGD,8/1/2020,1.61968
SGD,8/2/2020,1.619715
SGD,8/3/2020,1.61867
SGD,8/4/2020,1.62114
SGD,8/5/2020,1.625755
SGD,8/6/2020,1.62594
SGD,8/7/2020,1.61838
SGD,8/8/2020,1.61805
SGD,8/9/2020,1.61752
SGD,8/10/2020,1.61271
MYR,8/1/2020,5.0237
MYR,8/2/2020,5.0237
MYR,8/3/2020,4.9497
MYR,8/4/2020,4.9675
MYR,8/5/2020,4.9613
MYR,8/6/2020,4.9603
MYR,8/7/2020,4.9508
MYR,8/8/2020,4.9508
MYR,8/9/2020,4.9508
MYR,8/10/2020,4.9281
TWD,8/1/2020,34.7389
TWD,8/2/2020,34.7389
TWD,8/3/2020,34.4563
TWD,8/4/2020,34.6226
TWD,8/5/2020,34.75
TWD,8/6/2020,34.7844
TWD,8/7/2020,34.7518
TWD,8/8/2020,34.7518
TWD,8/9/2020,34.7518
TWD,8/10/2020,34.5476
HUF,8/1/2020,344.059
HUF,8/2/2020,344.425
HUF,8/3/2020,344.581
HUF,8/4/2020,346.2725
HUF,8/5/2020,344.9675
HUF,8/6/2020,346.11
HUF,8/7/2020,346.16
HUF,8/8/2020,346.2
HUF,8/9/2020,346.27
HUF,8/10/2020,344.8725
CZK,8/1/2020,26.241
CZK,8/2/2020,26.25705
CZK,8/3/2020,26.2755
CZK,8/4/2020,26.1236
CZK,8/5/2020,26.0871
CZK,8/6/2020,26.3257
CZK,8/7/2020,26.30805
CZK,8/8/2020,26.3153
CZK,8/9/2020,26.31425
CZK,8/10/2020,26.1969
BRL,8/1/2020,6.1343
BRL,8/2/2020,6.1343
BRL,8/3/2020,6.2566
BRL,8/4/2020,6.2504
BRL,8/5/2020,6.2839
BRL,8/6/2020,6.3324
BRL,8/7/2020,6.4111
BRL,8/8/2020,6.4111
BRL,8/9/2020,6.4111
BRL,8/10/2020,6.4351
