link,full_name,description,year,mileage_km,fuel_type,price_pln,offer_from,show_vin_offers,has_registration_number,brand,model,version,generation,production_year,mileage,engine_capacity_detail,fuel_type_detail,power,gearbox,autonomy,drive,battery_capacity,type_of_battery_property,fuel_consumption_average,fuel_consumption_outside_city,fuel_consumption_in_city,damaged,body_type,co2_emission,number_of_doors,number_of_seats,color,color_type,manufacturers_warranty_period,or_warranty_up_to_km,country_of_origin,first_registration_date,registration_number,registered_in_poland,first_owner,accident_free,serviced_at_dealership,condition
https://www.otomoto.pl/osobowe/oferta/audi-q5-q5-2-0tfsi-panorama-skora-wentylowana-virtual-cockpit-super-stan-ID6FU6bS.html,Audi Q5 2.0 TFSI Quattro Sport S tronic,1 984 cm3 • 252 KM • Q5 2.0TFSI panorama/ skóra wentylowana / virtual cockpit / super stan,2017,93 000 km,Benzyna,117 100,Prywatne,Tak,Tak,Audi,Q5,2.0 TFSI Quattro Sport S tronic,FY (2017-),2017,93 000 km,1 984 cm3,Benzyna,252 KM,Automatyczna,,,,,,,8 l/100km,Kompakt,,,5,5,Niebieski,Metalik,,,,,,Tak,,,Tak,Używane
https://www.otomoto.pl/osobowe/oferta/audi-a4-1-8i-120km-oryginalny-lakier-i-przebieg-stan-idealny-alu-18-ID6FSc8r.html,Audi A4 Avant 1.8 TFSI Attraction,"1 798 cm3 • 120 KM • 1,8I/120KM* Oryginalny Lakier i Przebieg ! Stan Idealny * Alu-18'",2008,124 290 km,Benzyna,34 900,Prywatne,Tak,Tak,Audi,A4,Avant 1.8 TFSI Attraction,B8 (2007-2015),2008,124 290 km,1 798 cm3,Benzyna,120 KM,Manualna,,Na przednie koła,,,,5.5 l/100km,"8,60 l/100km",Sedan,,154 g/km,5,5,Srebrny,Metalik,,,Niemcy,28 lipiec 2008,SHK-BL712,,,Tak,Tak,Używane
https://www.otomoto.pl/osobowe/oferta/audi-a4-allroad-audi-a4-allroad-quattro-ID6GcXF2.html,Audi A4 Allroad 2.0 TDI clean diesel Quattro S tronic,1 968 cm3 • 190 KM • AUDI A4 allroad quattro,2015,250 000 km,Diesel,55 000,Prywatne,Tak,Tak,Audi,A4 Allroad,2.0 TDI clean diesel Quattro S tronic,,2015,250 000 km,1 968 cm3,Diesel,190 KM,Automatyczna,,4x4 (stały),,,,5.0 l/100km,6 l/100km,Kombi,,149 g/km,5,5,Szary,Metalik,,,,27 styczeń 2016,SMI21193,Tak,,,,Używane
https://www.otomoto.pl/osobowe/oferta/audi-a4-s-line-quatro-bezwypadkowy-2-0-tdi-automat-ID6FYWBX.html,Audi A4 Avant 2.0 TDI DPF quattro S tronic S line Sportpaket,1 968 cm3 • 177 KM • S-Line Quatro Bezwypadkowy 2.0 TDI Automat,2014,175 715 km,Diesel,57 500,Prywatne,Tak,Tak,Audi,A4,Avant 2.0 TDI DPF quattro S tronic S line Sportpaket,B8 (2007-2015),2014,175 715 km,1 968 cm3,Diesel,177 KM,Automatyczna,,4x4 (stały),,,,4.9 l/100km,"6,50 l/100km",Kombi,,144 g/km,5,5,Czerwony,Metalik,,,Szwecja,,,,,Tak,Tak,Używane
https://www.otomoto.pl/osobowe/oferta/audi-a7-audi-a7-55-tfsi-mhev-quattro-s-tronic-1-wlasciciel-ID6FYJ4b.html,Audi A7 55 TFSI mHEV Quattro S tronic,"2 995 cm3 • 340 KM • Audi A7 55 TFSI mHEV Quattro S tronic,1 własciciel",2021,39 000 km,Benzyna,269 000,Prywatne,Tak,Tak,Audi,A7,55 TFSI mHEV Quattro S tronic,C8 (2018-),2021,39 000 km,2 995 cm3,Benzyna,340 KM,Automatyczna,,4x4 (stały),,,,5.0 l/100km,10 l/100km,Sedan,,171 g/km,5,4,Biały,Perłowy,,,Stany Zjednoczone,05 maj 2022,ZSW 32230,Tak,,,Tak,Używane
https://www.otomoto.pl/osobowe/oferta/audi-a4-okazja-niski-oryginalny-przebieg-faktura-vat-ID6GcZdq.html,Audi A4 Avant 2.0 TDI ultra,1 968 cm3 • 150 KM • Okazja niski oryginalny przebieg faktura Vat,2017,120 000 km,Diesel,55 350,Prywatne,Tak,Tak,Audi,A4,Avant 2.0 TDI ultra,B9 (2015-),2017,120 000 km,1 968 cm3,Diesel,150 KM,Manualna,,Na przednie koła,,,,3.4 l/100km,"4,50 l/100km",Kombi,Tak,99 g/km,5,5,Granatowy,Perłowy,,,,,,,,,,Używane
https://www.otomoto.pl/osobowe/oferta/audi-a6-audi-a6-c7-ID6FC1HT.html,Audi A6 3.0 TDI Quattro S tronic,2 967 cm3 • 245 KM • Audi a6 c7,2012,363 000 km,Diesel,51 800,Prywatne,Tak,Tak,Audi,A6,3.0 TDI Quattro S tronic,C7 (2011-2018),2012,363 000 km,2 967 cm3,Diesel,245 KM,Automatyczna,,4x4 (stały),,,,5.0 l/100km,7 l/100km,Kombi,,156 g/km,5,5,Czarny,Metalik,,,Niemcy,,,Tak,,Tak,,Używane
https://www.otomoto.pl/osobowe/oferta/audi-a5-fv-23-s-line-matrix-beam-virtual-alcantara-ambiente-ID6GcZdn.html,Audi A5 2.0 TFSI Sport S tronic,1 984 cm3 • 190 KM • FV 23% / S-LINE / MATRIX BEAM / VIRTUAL / Alcantara / Ambiente,2020,119 000 km,Benzyna,119 800,Firma,Tak,Tak,Audi,A5,2.0 TFSI Sport S tronic,F5 (2016-),2020,119 000 km,1 984 cm3,Benzyna,190 KM,Automatyczna,,Na przednie koła,,,,,5 l/100km,Coupe,,,5,5,Czerwony,Perłowy,,,Niemcy,,MATRIX BEAM,,,Tak,Tak,Używane
https://www.otomoto.pl/osobowe/oferta/audi-s4-audi-s4-3-0-tfsi-v6-turbo-354km-quattro-masaze-stan-idealny-ID6G5h5e.html,Audi S4 3.0 TFSI Quattro Tiptronic,"2 995 cm3 • 354 KM • AUDI S4 3.0 TFSI V6 Turbo 354KM Quattro, Masaże, Stan Idealny!",2018,40 698 km,Benzyna,138 900,Prywatne,Tak,Tak,Audi,S4,3.0 TFSI Quattro Tiptronic,B9 (2015-),2018,40 698 km,2 995 cm3,Benzyna,354 KM,Automatyczna,,4x4 (stały),,,,5.0 l/100km,9 l/100km,Sedan,,166 g/km,4,5,Biały,Perłowy,,,,,,Tak,,,,Używane
https://www.otomoto.pl/osobowe/oferta/audi-a4-swietny-stan-maly-przebieg-ID6FUiMr.html,Audi A4 2.0 TFSI Quattro S tronic,"1 984 cm3 • 224 KM • Świetny stan, mały przebieg.",2014,95 000 km,Benzyna,68 900,Prywatne,Tak,,Audi,A4,2.0 TFSI Quattro S tronic,B8 (2007-2015),2014,95 000 km,1 984 cm3,Benzyna,224 KM,Automatyczna,,4x4 (stały),,,,,8 l/100km,Kombi,,,5,,Szary,Metalik,,,Stany Zjednoczone,styczeń 2014,,Tak,,,,Używane
https://www.otomoto.pl/osobowe/oferta/audi-a6-audi-a6-c8-2019r-2-0tdi-204-ful-quatro-dach-hud-up-orginal-pl-favat23-ID6GddMF.html,Audi A6 40 TDI mHEV Quattro Sport S tronic,"1 968 cm3 • 204 KM • AUDI A6 C8 2019R 2,0TDi 204 FUL QUATRO Dach HUD-up ORGINAŁ PL FaVat23%",2019,67 501 km,Diesel,176 500,Firma,Tak,Tak,Audi,A6,40 TDI mHEV Quattro Sport S tronic,C8 (2018-),2019,67 501 km,1 968 cm3,Diesel,204 KM,Automatyczna,,4x4 (dołączany automatycznie),,,,,5 l/100km,Kombi,,105 g/km,5,5,Czarny,Metalik,,,Polska,03 październik 2019,WE071XK,Tak,,Tak,Tak,Używane
https://www.otomoto.pl/osobowe/oferta/audi-sq5-313-km-bangolufsen-asystent-pasa-panorama-ID6G9rww.html,Audi SQ5 3.0 TDI Quattro Tiptronic,"2 967 cm3 • 313 KM • 313 KM,BangOlufsen,Asystent Pasa,Panorama",2014,208 900 km,Diesel,109 900,Firma,Tak,Tak,Audi,SQ5,3.0 TDI Quattro Tiptronic,,2014,208 900 km,2 967 cm3,Diesel,313 KM,Automatyczna,,4x4 (stały),,,,6.0 l/100km,7 l/100km,SUV,,179 g/km,5,5,Biały,,,,Niemcy,27 luty 2014,LUB94895,Tak,,,Tak,Używane
https://www.otomoto.pl/osobowe/oferta/audi-a5-ID6GdTjh.html,Audi A5 40 TDI Quattro S Line S tronic,1 968 cm3 • 190 KM,2020,78 567 km,Diesel,161 000,Prywatne,Tak,Tak,Audi,A5,40 TDI Quattro S Line S tronic,F5 (2016-),2020,78 567 km,1 968 cm3,Diesel,190 KM,Automatyczna,,4x4 (stały),,,,4.0 l/100km,5 l/100km,Coupe,,128 g/km,5,4,Szary,,,,Niemcy,,,Tak,,,,Używane
https://www.otomoto.pl/osobowe/oferta/audi-a4-audi-a4-b6-1-8-t-190-km-bex-quattro-2x-sline-ID6FZdZJ.html,Audi A4 Avant 1.8T Quattro,1 781 cm3 • 190 KM • Audi A4 B6 1.8 T 190 KM BEX Quattro 2x SLINE,2004,348 000 km,Benzyna+LPG,23 500,Prywatne,Tak,Tak,Audi,A4,Avant 1.8T Quattro,B6 (2000-2004),2004,348 000 km,1 781 cm3,Benzyna+LPG,190 KM,Manualna,,4x4 (stały),,,,7.0 l/100km,12 l/100km,Kombi,,,5,5,Czarny,Metalik,,,Niemcy,,,Tak,,Tak,Tak,Używane
https://www.otomoto.pl/osobowe/oferta/audi-q7-50-tdi-sline-bogata-wersja-iii-2022-i-wlas-salonpl-gwarancja-fv23-ID6ENtTr.html,Audi Q7,"2 967 cm3 • 286 KM • 50 TDI SLINE bogata wersja III 2022, I wlas, salonPL gwarancja, FV23%",2022,8 000 km,Diesel,364 000,Prywatne,Tak,Tak,Audi,Q7,,II (2015-),2022,8 000 km,2 967 cm3,Diesel,286 KM,Automatyczna,,4x4 (stały),,,,,8 l/100km,SUV,,,5,5,Czarny,Metalik,10 Marca 2025,100 000 km,Polska,10 marzec 2022,WE5N733,Tak,,Tak,Tak,Używane
"https://otomotoklik.pl/oferta/WAUZZZ4M0GD031442?product=lease&contractPeriod=36&utm_source=otomoto&utm_medium=native&utm_campaign=listing&utm_term=audi-q7-3.0-tdi-ultra-quattro-tiptr.,audi,,,,,,,,,,,,,,,,&utm_campaign_id=1-undefined",AUDI Q7 3.0 TDI ultra Quattro Tiptr.,2967 cm3,2015,192 248 km,Diesel,149 900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.otomoto.pl/osobowe/oferta/audi-a5-ID6GdTjh.html,Audi A5 40 TDI Quattro S Line S tronic,1 968 cm3 • 190 KM,2020,78 567 km,Diesel,161 000,Prywatne,Tak,Tak,Audi,A5,40 TDI Quattro S Line S tronic,F5 (2016-),2020,78 567 km,1 968 cm3,Diesel,190 KM,Automatyczna,,4x4 (stały),,,,4.0 l/100km,5 l/100km,Coupe,,128 g/km,5,4,Szary,,,,Niemcy,,,Tak,,,,Używane
https://www.otomoto.pl/osobowe/oferta/audi-a4-audi-a4-b6-1-8-t-190-km-bex-quattro-2x-sline-ID6FZdZJ.html,Audi A4 Avant 1.8T Quattro,1 781 cm3 • 190 KM • Audi A4 B6 1.8 T 190 KM BEX Quattro 2x SLINE,2004,348 000 km,Benzyna+LPG,23 500,Prywatne,Tak,Tak,Audi,A4,Avant 1.8T Quattro,B6 (2000-2004),2004,348 000 km,1 781 cm3,Benzyna+LPG,190 KM,Manualna,,4x4 (stały),,,,7.0 l/100km,12 l/100km,Kombi,,,5,5,Czarny,Metalik,,,Niemcy,,,Tak,,Tak,Tak,Używane
https://www.otomoto.pl/osobowe/oferta/audi-q7-50-tdi-sline-bogata-wersja-iii-2022-i-wlas-salonpl-gwarancja-fv23-ID6ENtTr.html,Audi Q7,"2 967 cm3 • 286 KM • 50 TDI SLINE bogata wersja III 2022, I wlas, salonPL gwarancja, FV23%",2022,8 000 km,Diesel,364 000,Prywatne,Tak,Tak,Audi,Q7,,II (2015-),2022,8 000 km,2 967 cm3,Diesel,286 KM,Automatyczna,,4x4 (stały),,,,,8 l/100km,SUV,,,5,5,Czarny,Metalik,10 Marca 2025,100 000 km,Polska,10 marzec 2022,WE5N733,Tak,,Tak,Tak,Używane
https://www.otomoto.pl/osobowe/oferta/audi-a6-audi-a6c7-3-0-tdi-stronic-2017r-232-tys-ID6GcZ4R.html,Audi A6 3.0 TDI Quattro S tronic,2 967 cm3 • 272 KM • AUDI A6C7 3.0 TDI STRONIC 2017r. 232 tys.,2017,232 000 km,Diesel,140 000,Prywatne,Tak,Tak,Audi,A6,3.0 TDI Quattro S tronic,C7 (2011-2018),2017,232 000 km,2 967 cm3,Diesel,272 KM,Automatyczna,,4x4 (stały),,,,4.0 l/100km,6 l/100km,Sedan,,138 g/km,5,5,Czarny,Metalik,,,,,,Tak,,Tak,Tak,Używane
https://www.otomoto.pl/osobowe/oferta/audi-a4-fv-23-allroad-lift-quattro-full-led-virtual-cockpit-alu-ID6G69yG.html,Audi A4,1 968 cm3 • 204 KM • FV 23% / ALLROAD / LIFT / QUATTRO / FULL LED / Virtual Cockpit / Alu,2021,169 990 km,Diesel,109 900,Firma,Tak,Tak,Audi,A4,,B9 (2015-),2021,169 990 km,1 968 cm3,Diesel,204 KM,Automatyczna,,4x4 (stały),,,,,5 l/100km,Kombi,,,5,5,Szary,Metalik,,,Niemcy,,ALLROAD,,,Tak,Tak,Używane
https://www.otomoto.pl/osobowe/oferta/audi-q5-sportback-pakiet-comfort-reflektory-matrix-led-ID6Gbdy7.html,Audi Q5 Sportback 40 TDI mHEV Quattro Advanced S tronic,1 968 cm3 • 204 KM • Pakiet Comfort + Reflektory Matrix LED,2024,1 km,Diesel,261 600,Firma,,,Audi,Q5 Sportback,40 TDI mHEV Quattro Advanced S tronic,,2024,1 km,1 968 cm3,Diesel,204 KM,Automatyczna,,4x4 (stały),,,,,6 l/100km,SUV,,,5,5,Czarny,Metalik,,,Polska,,,,,Tak,,Nowe
https://www.otomoto.pl/osobowe/oferta/audi-a6-audi-a6-40-tdi-mhev-sport-s-tronic-ID6GdTkM.html,Audi A6 40 TDI mHEV Sport S tronic,1 968 cm3 • 204 KM • Audi A6 40 TDI mHEV Sport S tronic,2022,19 200 km,Diesel,194 900,Prywatne,Tak,Tak,Audi,A6,40 TDI mHEV Sport S tronic,C8 (2018-),2022,19 200 km,1 968 cm3,Diesel,204 KM,Automatyczna,,Na przednie koła,,,,3.0 l/100km,5 l/100km,Sedan,,114 g/km,4,5,Szary,,17 Listopada 2027,150 000 km,,17 listopad 2022,DW6TH79,Tak,,Tak,Tak,Używane
https://www.otomoto.pl/osobowe/oferta/audi-a6-audi-a6-40-tdi-mhev-sport-s-tronic-ID6FGpCg.html,Audi A6 40 TDI mHEV Sport S tronic,1 968 cm3 • 204 KM • AUDI A6 40 TDI mHEV Sport S Tronic,2019,110 000 km,Diesel,145 900,Prywatne,Tak,Tak,Audi,A6,40 TDI mHEV Sport S tronic,C8 (2018-),2019,110 000 km,1 968 cm3,Diesel,204 KM,Automatyczna,,Na przednie koła,,,,4.0 l/100km,5 l/100km,Kombi,,118 g/km,5,5,Czarny,Metalik,,,,,,Tak,,Tak,Tak,Używane
https://www.otomoto.pl/osobowe/oferta/audi-a6-allroad-audi-a6-c7-allroad-quattro-3-0-tdi-ID6FikUN.html,Audi A6 Allroad 3.0 TDI Quattro Tiptr,2 967 cm3 • 313 KM • Audi A6 C7 Allroad Quattro 3.0 TDI.,2014,322 000 km,Diesel,65 000,Prywatne,Tak,Tak,Audi,A6 Allroad,3.0 TDI Quattro Tiptr,C7 (2012-),2014,322 000 km,2 967 cm3,Diesel,313 KM,Automatyczna,,4x4 (stały),,,,,7 l/100km,Kombi,,,5,5,Brązowy,Metalik,,,Polska,,,Tak,,Tak,Tak,Używane
